start;end;regione;comune
35837696;35837951;Friuli-Venezia Giulia;Trieste
35837952;35838207;Umbria;Perugia
35838208;35838463;Emilia-Romagna;Bologna
35838464;35838975;Piemonte;Ivrea
35838976;35839231;Lombardia;Voghera
35839232;35839487;Veneto;Verona
35839488;35839743;Emilia-Romagna;Modena
35839744;35839999;Emilia-Romagna;Ferrara
35840000;35840255;Piemonte;Ivrea
35840256;35840511;Veneto;Venice
35840512;35840767;Veneto;Verona
35840768;35841023;Veneto;Refrontolo
35841024;35841279;Emilia-Romagna;Bologna
35841280;35841535;Veneto;Verona
35841536;35841791;Veneto;Venice
35841792;35842047;Trentino-Alto Adige;Trento
35841792;35842047;trentino-alto adige/südtirol;Trento
35842048;35842303;Veneto;Venice
35842304;35842559;Piemonte;Ivrea
35842560;35842815;Veneto;Padova
35842816;35843071;Emilia-Romagna;Bologna
35843072;35843327;Friuli-Venezia Giulia;Monfalcone
35843328;35843583;Emilia-Romagna;Forli
35843584;35843839;Piemonte;Ivrea
35843840;35845119;Emilia-Romagna;Bologna
35845120;35845375;Umbria;Terni
35845376;35846143;Emilia-Romagna;Bologna
35846144;35846399;Emilia-Romagna;Forli
35846400;35846655;Veneto;Venice
35846656;35846911;Trentino-Alto Adige;Arco
35846912;35847167;Emilia-Romagna;Ravenna
35847168;35847423;Piemonte;Ivrea
35847424;35847679;Emilia-Romagna;Ravenna
35847680;35848191;Emilia-Romagna;Bologna
35848192;35848447;Liguria;Genova
35848448;35849727;Lombardia;Milan
35849728;35849983;Liguria;La Spezia
35849984;35850239;Liguria;Genova
35850240;35850495;Lombardia;Milan
35850496;35850751;Liguria;Genova
35850752;35851007;Lombardia;Milan
35851008;35851519;Piemonte;Ivrea
35851520;35851775;Trentino-Alto Adige;Revo
35851776;35852799;Piemonte;Ivrea
35852800;35853055;Lombardia;Milan
35853056;35853311;Piemonte;Ivrea
35853312;35853567;Lombardia;Cagnola
35853568;35853823;Toscana;Pisa
35853824;35854335;Lombardia;Milan
